Applied [Hype.BlankIdentifier] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 4] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 4] to [PartialApplication: +] that returned [Number: 8]
Applied [Number: 4] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 8] to [PartialApplication: =] that returned [Number: 8]
Applied [Number: 2] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 3]
Applied [Number: 2] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 3] to [PartialApplication: =] that returned [Number: 3]
Applied [Number: 3] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 8] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 8] to [PartialApplication: +] that returned [Number: 16]
Applied [Number: 8] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 16] to [PartialApplication: =] that returned [Number: 16]
Applied [Number: 3] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 4]
Applied [Number: 3] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 4] to [PartialApplication: =] that returned [Number: 4]
Applied [Number: 4] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 16] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 16] to [PartialApplication: +] that returned [Number: 32]
Applied [Number: 16] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 32] to [PartialApplication: =] that returned [Number: 32]
Applied [Number: 4] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 5]
Applied [Number: 4] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 5] to [PartialApplication: =] that returned [Number: 5]
Applied [Number: 5] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 32] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 32] to [PartialApplication: +] that returned [Number: 64]
Applied [Number: 32] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 64] to [PartialApplication: =] that returned [Number: 64]
Applied [Number: 5] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 6]
Applied [Number: 5] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 6] to [PartialApplication: =] that returned [Number: 6]
Applied [Number: 6] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 64] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 64] to [PartialApplication: +] that returned [Number: 128]
Applied [Number: 64] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 128] to [PartialApplication: =] that returned [Number: 128]
Applied [Number: 6] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 7]
Applied [Number: 6] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 7] to [PartialApplication: =] that returned [Number: 7]
Applied [Number: 7] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 128] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 128] to [PartialApplication: +] that returned [Number: 256]
Applied [Number: 128] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 256] to [PartialApplication: =] that returned [Number: 256]
Applied [Number: 7] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 8]
Applied [Number: 7] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 8] to [PartialApplication: =] that returned [Number: 8]
Applied [Number: 8] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 256] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 256] to [PartialApplication: +] that returned [Number: 512]
Applied [Number: 256] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 512] to [PartialApplication: =] that returned [Number: 512]
Applied [Number: 8] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 9]
Applied [Number: 8] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 9] to [PartialApplication: =] that returned [Number: 9]
Applied [Number: 9] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 512] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 512] to [PartialApplication: +] that returned [Number: 1024]
Applied [Number: 512] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 1024] to [PartialApplication: =] that returned [Number: 1024]
Applied [Number: 9] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 10]
Applied [Number: 9] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 10] to [PartialApplication: =] that returned [Number: 10]
Applied [Number: 10] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 1024] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1024] to [PartialApplication: +] that returned [Number: 2048]
Applied [Number: 1024] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 2048] to [PartialApplication: =] that returned [Number: 2048]
Applied [Number: 10] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 11]
Applied [Number: 10] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 11] to [PartialApplication: =] that returned [Number: 11]
Applied [Number: 11] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 2048] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 2048] to [PartialApplication: +] that returned [Number: 4096]
Applied [Number: 2048] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 4096] to [PartialApplication: =] that returned [Number: 4096]
Applied [Number: 11] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 12]
Applied [Number: 11] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 12] to [PartialApplication: =] that returned [Number: 12]
Applied [Number: 12] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 4096] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 4096] to [PartialApplication: +] that returned [Number: 8192]
Applied [Number: 4096] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 8192] to [PartialApplication: =] that returned [Number: 8192]
Applied [Number: 12] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 13]
Applied [Number: 12] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 13] to [PartialApplication: =] that returned [Number: 13]
Applied [Number: 13] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 8192] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 8192] to [PartialApplication: +] that returned [Number: 16384]
Applied [Number: 8192] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 16384] to [PartialApplication: =] that returned [Number: 16384]
Applied [Number: 13] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 14]
Applied [Number: 13] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 14] to [PartialApplication: =] that returned [Number: 14]
Applied [Number: 14] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 16384] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 16384] to [PartialApplication: +] that returned [Number: 32768]
Applied [Number: 16384] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 32768] to [PartialApplication: =] that returned [Number: 32768]
Applied [Number: 14] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 15]
Applied [Number: 14] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 15] to [PartialApplication: =] that returned [Number: 15]
Applied [Number: 15] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 32768] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 32768] to [PartialApplication: +] that returned [Number: 65536]
Applied [Number: 32768] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 65536] to [PartialApplication: =] that returned [Number: 65536]
Applied [Number: 15] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 16]
Applied [Number: 15] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 16] to [PartialApplication: =] that returned [Number: 16]
Applied [Number: 16] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 65536] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 65536] to [PartialApplication: +] that returned [Number: 131072]
Applied [Number: 65536] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 131072] to [PartialApplication: =] that returned [Number: 131072]
Applied [Number: 16] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 17]
Applied [Number: 16] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 17] to [PartialApplication: =] that returned [Number: 17]
Applied [Number: 17] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 131072] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 131072] to [PartialApplication: +] that returned [Number: 262144]
Applied [Number: 131072] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 262144] to [PartialApplication: =] that returned [Number: 262144]
Applied [Number: 17] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 18]
Applied [Number: 17] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 18] to [PartialApplication: =] that returned [Number: 18]
Applied [Number: 18] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 262144] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 262144] to [PartialApplication: +] that returned [Number: 524288]
Applied [Number: 262144] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 524288] to [PartialApplication: =] that returned [Number: 524288]
Applied [Number: 18] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 19]
Applied [Number: 18] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 19] to [PartialApplication: =] that returned [Number: 19]
Applied [Number: 19] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 524288] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 524288] to [PartialApplication: +] that returned [Number: 1048576]
Applied [Number: 524288] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 1048576] to [PartialApplication: =] that returned [Number: 1048576]
Applied [Number: 19] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 20]
Applied [Number: 19] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 20] to [PartialApplication: =] that returned [Number: 20]
Applied [Number: 20] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 1048576] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1048576] to [PartialApplication: +] that returned [Number: 2097152]
Applied [Number: 1048576] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 2097152] to [PartialApplication: =] that returned [Number: 2097152]
Applied [Number: 20] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 21]
Applied [Number: 20] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 21] to [PartialApplication: =] that returned [Number: 21]
Applied [Number: 21] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 2097152] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 2097152] to [PartialApplication: +] that returned [Number: 4194304]
Applied [Number: 2097152] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 4194304] to [PartialApplication: =] that returned [Number: 4194304]
Applied [Number: 21] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 22]
Applied [Number: 21] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 22] to [PartialApplication: =] that returned [Number: 22]
Applied [Number: 22] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 4194304] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 4194304] to [PartialApplication: +] that returned [Number: 8388608]
Applied [Number: 4194304] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 8388608] to [PartialApplication: =] that returned [Number: 8388608]
Applied [Number: 22] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 23]
Applied [Number: 22] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 23] to [PartialApplication: =] that returned [Number: 23]
Applied [Number: 23] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 8388608] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 8388608] to [PartialApplication: +] that returned [Number: 16777216]
Applied [Number: 8388608] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 16777216] to [PartialApplication: =] that returned [Number: 16777216]
Applied [Number: 23] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 24]
Applied [Number: 23] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 24] to [PartialApplication: =] that returned [Number: 24]
Applied [Number: 24] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 16777216] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 16777216] to [PartialApplication: +] that returned [Number: 33554432]
Applied [Number: 16777216] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 33554432] to [PartialApplication: =] that returned [Number: 33554432]
Applied [Number: 24] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 25]
Applied [Number: 24] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 25] to [PartialApplication: =] that returned [Number: 25]
Applied [Number: 25] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 33554432] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 33554432] to [PartialApplication: +] that returned [Number: 67108864]
Applied [Number: 33554432] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 67108864] to [PartialApplication: =] that returned [Number: 67108864]
Applied [Number: 25] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 26]
Applied [Number: 25] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 26] to [PartialApplication: =] that returned [Number: 26]
Applied [Number: 26] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 67108864] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 67108864] to [PartialApplication: +] that returned [Number: 134217728]
Applied [Number: 67108864] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 134217728] to [PartialApplication: =] that returned [Number: 134217728]
Applied [Number: 26] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 27]
Applied [Number: 26] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 27] to [PartialApplication: =] that returned [Number: 27]
Applied [Number: 27] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 134217728] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 134217728] to [PartialApplication: +] that returned [Number: 268435456]
Applied [Number: 134217728] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 268435456] to [PartialApplication: =] that returned [Number: 268435456]
Applied [Number: 27] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 28]
Applied [Number: 27] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 28] to [PartialApplication: =] that returned [Number: 28]
Applied [Number: 28] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 268435456] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 268435456] to [PartialApplication: +] that returned [Number: 536870912]
Applied [Number: 268435456] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 536870912] to [PartialApplication: =] that returned [Number: 536870912]
Applied [Number: 28] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 29]
Applied [Number: 28] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 29] to [PartialApplication: =] that returned [Number: 29]
Applied [Number: 29] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 536870912] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 536870912] to [PartialApplication: +] that returned [Number: 1073741824]
Applied [Number: 536870912] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 1073741824] to [PartialApplication: =] that returned [Number: 1073741824]
Applied [Number: 29] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 30]
Applied [Number: 29] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 30] to [PartialApplication: =] that returned [Number: 30]
Applied [Number: 30] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: True]
Applied [Number: 1073741824] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1073741824] to [PartialApplication: +] that returned [Number: -2147483648]
Applied [Number: 1073741824] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: -2147483648] to [PartialApplication: =] that returned [Number: -2147483648]
Applied [Number: 30] to [PartialApplication: +] that returned [PartialApplication: +]
Applied [Number: 1] to [PartialApplication: +] that returned [Number: 31]
Applied [Number: 30] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 31] to [PartialApplication: =] that returned [Number: 31]
Applied [Number: 31] to [PartialApplication: <] that returned [PartialApplication: <]
Applied [Number: 31] to [PartialApplication: <] that returned [Boolean: False]
Applied [Hype.CodeBlock] to [PartialApplication: for] that returned [Hype.Void]
Applied [Number: -2147483648] to [PartialApplication: -] that returned [PartialApplication: -]
Applied [Number: 1] to [PartialApplication: -] that returned [Number: 2147483647]
Applied [Number: -2147483648] to [PartialApplication: =] that returned [PartialApplication: =]
Applied [Number: 2147483647] to [PartialApplication: =] that returned [Number: 2147483647]
